Timestamp,Open,High,Low,Close,Volume,Close_time,Quote_av,Trades,Tb_base_av,Tb_quote_av,Ignore
2022-03-17 14:30:00,1.0001,10.0,1.0001,9.9999,714456.25,1647527699999.0,6452757.431548,16854.0,394863.21,3604168.245349,0.0
2022-03-17 14:35:00,10.0,15.0,9.1046,9.2445,529487.79,1647527999999.0,5903970.153739,15253.0,218903.44,2477920.450523,0.0
2022-03-17 14:40:00,9.4059,9.429,8.5,9.1418,348635.18,1647528299999.0,3165421.104901,7239.0,196773.8,1790250.7628,0.0
2022-03-17 14:45:00,9.1208,9.5,9.0854,9.2297,196328.6,1647528599999.0,1834252.837299,4743.0,105296.41,985430.276014,0.0
2022-03-17 14:50:00,9.2205,9.2999,8.62,9.0358,163947.63,1647528899999.0,1461150.951336,4548.0,72871.74,647990.119613,0.0
2022-03-17 14:55:00,9.0342,9.26,8.8946,8.921,149099.79,1647529199999.0,1354418.345282,3891.0,66768.46,606298.103166,0.0
2022-03-17 15:00:00,8.914,9.3,8.8273,9.1929,147607.06,1647529499999.0,1337577.656466,3891.0,72319.29,657162.319131,0.0
2022-03-17 15:05:00,9.1945,9.2969,9.0402,9.1493,98590.89,1647529799999.0,903653.979454,3200.0,43710.02,401114.903433,0.0
2022-03-17 15:10:00,9.1351,9.1489,8.75,8.8001,85088.45,1647530099999.0,762646.305664,2390.0,31605.05,283221.960637,0.0
2022-03-17 15:15:00,8.8006,9.0,8.76,8.92,55592.11,1647530399999.0,493362.833853,1885.0,27736.06,246507.637875,0.0
2022-03-17 15:20:00,8.92,8.9862,8.75,8.75,64143.74,1647530699999.0,569256.375893,1802.0,24711.78,220004.600303,0.0
2022-03-17 15:25:00,8.7587,8.7837,8.35,8.6566,117556.3,1647530999999.0,1006991.092801,3204.0,52673.82,451188.626273,0.0
2022-03-17 15:30:00,8.6559,8.7716,8.45,8.4579,59347.89,1647531299999.0,511999.383585,1913.0,29649.69,255988.877681,0.0
2022-03-17 15:35:00,8.4621,8.5263,8.1261,8.1488,100240.75,1647531599999.0,834095.137364,2604.0,46275.83,385671.293708,0.0
